1510;353;42
3042;123;241
2145;389;731
1030;365;993
2125;360;72
3121;1452;558
2572;1989;75
755;1780;536
3805;1161;136
2736;795;794
778;785;837
3606;116;223
3348;1871;498
3828;793;873
3947;1971;249
1278;1463;514
3529;282;931
2818;542;862
1184;1380;686
1424;69;75
34;1105;224
1769;1386;282
1187;1284;169
611;660;990
2299;1689;429
524;935;589
3761;761;239
52;109;238
1376;1308;643
2203;351;780
997;1180;824
3587;1694;293
1109;1824;422
3613;725;975
924;281;623
1645;78;567
1032;882;392
728;505;511
1525;389;972
2720;99;660
1014;436;586
2955;1;332
3471;1985;526
1970;134;239
1745;1827;781
2344;1276;450
273;463;903
944;1404;754
3773;355;68
1494;530;688
1812;325;328
3101;1318;409
3809;652;903
1157;1413;287
1238;1005;804
1186;1152;16
88;1050;829
533;723;817
1239;262;919
495;227;96
2704;801;528
334;1269;450
1055;1629;232
377;314;967
183;867;281
1081;411;903
2692;1857;216
2033;1633;686
2658;1615;598
1549;241;553
230;248;988
154;1204;261
3113;1802;247
3421;1686;425
671;1320;37
2993;313;28
1603;806;255
2105;269;270
2316;1406;968
1810;1479;120
3954;1478;233
1433;1792;319
227;643;942
2724;415;686
836;566;780
579;859;688
1810;167;718
1916;1770;331
2137;1049;362
3449;1918;482
3159;784;937
1878;511;318
3637;451;454
936;1648;577
3332;1986;266
3510;1368;74
243;232;17
2699;379;940
2838;1937;14
2947;1033;497
3549;733;919
2720;951;377
1821;1845;553
105;1922;334
1624;1477;939
3790;1231;695
3977;306;252
3787;1695;727
1266;1534;362
3181;580;379
3630;1207;589
3749;1924;330
3184;1494;320
664;1168;124
2055;446;71
1509;334;707
2;102;460
1292;1392;135
919;589;674
3359;668;191
1232;1526;915
1899;430;342
3265;1986;984
3882;1263;560
3832;1356;541
3962;842;601
2938;624;530
2181;1096;452
993;590;218
1849;1253;730
3381;416;383
1188;1980;673
949;792;177
1639;1811;608
3193;878;437
3072;1182;97
1255;942;800
2888;86;527
808;1331;681
3498;1106;546
387;927;922
2057;1855;31
508;1041;907
580;83;148
1914;1880;389
1399;777;517
896;1723;803
172;37;116
3889;482;871
1674;295;194
2342;6;513
1440;619;906
3531;102;216
2099;929;328
1612;1918;215
920;1504;550
2689;1975;489
1777;1357;579
684;468;725
665;175;304
3915;36;374
1826;830;405
3749;128;850
628;1342;60
1047;194;208
3339;1695;909
485;1003;938
2548;936;116
3967;1777;904
3535;1302;186
1953;1278;560
1481;1516;321
2669;1954;525
2706;349;945
2809;265;435
2292;618;318
2169;621;887
2963;116;55
1100;39;15
3395;1808;910
1119;1848;418
533;972;466
665;1674;814
123;1575;289
1735;1468;955
290;766;111
2187;1239;87
2285;282;973
3363;60;674
3050;426;82
3007;1799;380
3695;1489;725
2357;227;380
1220;443;829
1805;1477;417
1023;1258;98
3192;1271;591
3735;1879;730
3983;299;654
2605;3;182
