2907;1115;464
3433;183;932
2237;74;130
91;583;503
3053;1867;496
2698;436;283
1940;1520;735
1251;807;893
1415;700;128
472;498;979
1537;1883;759
2839;370;754
1083;1307;27
702;196;680
1393;917;523
2901;1231;978
1650;1001;65
2111;323;785
1596;1302;48
2260;1365;382
1427;425;871
603;513;421
1967;1119;827
3781;1575;818
3506;628;263
3877;1877;102
3019;651;468
3070;845;868
415;1327;577
1782;1395;397
1470;76;881
3361;93;210
1275;65;513
1879;1535;347
3019;396;142
111;1959;973
3818;1948;163
3441;1571;322
3882;128;122
18;481;996
1610;511;488
3355;1511;863
3613;56;599
3408;1072;594
520;950;44
48;791;582
2654;1329;755
1047;1727;522
1865;88;822
3670;1131;786
3577;937;223
76;89;219
1361;1158;253
965;239;372
2286;474;898
3097;1853;419
3065;1697;757
2920;1262;323
105;1594;409
671;1301;305
697;674;677
1745;1878;508
2977;1306;863
1338;569;248
227;1740;89
1462;1143;589
2827;838;10
15;850;52
3615;1785;819
1301;119;403
51;55;341
571;1137;141
79;1363;391
1673;1728;132
2050;831;869
2290;386;792
1392;1687;990
2988;1197;769
113;685;594
2376;1905;456
2759;1735;29
1570;1550;756
1288;418;92
302;27;894
1098;822;460
198;1340;381
2324;1667;766
712;1724;566
3204;1888;7
114;1746;94
1510;1997;715
45;102;154
3188;685;434
3797;570;957
3850;1115;550
2113;924;343
1124;21;674
938;1229;523
2636;982;892
3219;1168;17
974;1938;764
3492;30;12
3414;1382;524
3955;307;85
763;1496;990
2549;34;713
1755;967;973
987;1241;343
3738;852;976
993;1484;542
259;1211;612
3161;968;774
3978;1299;309
1312;81;501
96;1161;177
1447;329;186
3265;1101;685
517;817;37
2173;828;957
668;1265;298
2325;1497;848
3497;514;179
3254;623;271
3640;1708;555
475;1058;979
3883;770;795
101;870;598
3449;614;178
2757;623;472
177;1705;114
585;93;150
3804;562;306
1408;1387;210
2362;430;546
3897;1849;398
2505;1130;108
1803;1970;112
3225;1598;133
814;501;539
965;1129;417
484;15;128
632;47;108
657;230;20
3277;549;50
2704;641;807
2562;1941;82
3187;1506;604
309;1858;268
580;32;68
1018;111;779
447;891;240
2419;1862;976
3919;922;449
2992;1861;167
3938;1753;48
287;640;573
53;519;308
2662;1812;190
240;900;443
216;1867;115
2795;1970;749
440;96;591
367;922;181
1999;446;444
2897;992;846
3459;1589;307
373;1256;375
2601;478;611
1881;1354;673
2827;875;425
1096;1974;247
114;1547;488
1977;836;264
1435;1145;974
329;134;137
2620;1242;920
500;1955;943
1710;1478;855
2742;622;728
3308;477;154
2730;1992;668
798;1903;264
2208;356;273
3117;447;300
1271;98;775
1476;1562;144
3670;1607;988
688;1829;662
465;20;572
985;1708;289
2312;1346;141
618;752;983
521;580;358
694;1205;460
3747;1842;628
1252;970;941
613;784;219
3139;470;298
2465;1165;285
2148;1430;888
